2021-09-08 11:33:08 INFO Collected 50 ID in genre ANIMATION, rank 701-751
2021-09-08 11:33:10 INFO Collected 50 ID in genre ANIMATION, rank 751-801
2021-09-08 11:33:12 INFO Collected 50 ID in genre ANIMATION, rank 801-851
2021-09-08 11:33:14 INFO Collected 50 ID in genre ANIMATION, rank 851-901
2021-09-08 11:33:15 INFO Collected 50 ID in genre ANIMATION, rank 901-951
2021-09-08 11:33:17 INFO Collected 50 ID in genre ANIMATION, rank 951-1001
2021-09-08 11:33:18 INFO Collected 1000 ID in ANIMATION genre
2021-09-08 11:33:23 INFO Collected 50 ID in genre BIOGRAPHY, rank 1-51
2021-09-08 11:33:25 INFO Collected 50 ID in genre BIOGRAPHY, rank 51-101
2021-09-08 11:33:26 INFO Collected 50 ID in genre BIOGRAPHY, rank 101-151
2021-09-08 11:33:28 INFO Collected 50 ID in genre BIOGRAPHY, rank 151-201
2021-09-08 11:33:30 INFO Collected 50 ID in genre BIOGRAPHY, rank 201-251
2021-09-08 11:33:31 INFO Collected 50 ID in genre BIOGRAPHY, rank 251-301
2021-09-08 11:33:33 INFO Collected 50 ID in genre BIOGRAPHY, rank 301-351
2021-09-08 11:33:35 INFO Collected 50 ID in genre BIOGRAPHY, rank 351-401
2021-09-08 11:33:37 INFO Collected 50 ID in genre BIOGRAPHY, rank 401-451
2021-09-08 11:33:39 INFO Collected 50 ID in genre BIOGRAPHY, rank 451-501
2021-09-08 11:33:40 INFO Collected 50 ID in genre BIOGRAPHY, rank 501-551
2021-09-08 11:33:42 INFO Collected 50 ID in genre BIOGRAPHY, rank 551-601
2021-09-08 11:33:44 INFO Collected 50 ID in genre BIOGRAPHY, rank 601-651
2021-09-08 11:33:46 INFO Collected 50 ID in genre BIOGRAPHY, rank 651-701
2021-09-08 11:33:48 INFO Collected 50 ID in genre BIOGRAPHY, rank 701-751
2021-09-08 11:33:50 INFO Collected 50 ID in genre BIOGRAPHY, rank 751-801
2021-09-08 11:33:52 INFO Collected 50 ID in genre BIOGRAPHY, rank 801-851
2021-09-08 11:33:54 INFO Collected 50 ID in genre BIOGRAPHY, rank 851-901
2021-09-08 11:33:56 INFO Collected 50 ID in genre BIOGRAPHY, rank 901-951
2021-09-08 11:33:58 INFO Collected 50 ID in genre BIOGRAPHY, rank 951-1001
2021-09-08 11:33:58 INFO Collected 1000 ID in BIOGRAPHY genre
2021-09-08 11:34:06 INFO Collected 50 ID in genre COMEDY, rank 1-51
2021-09-08 11:34:08 INFO Collected 50 ID in genre COMEDY, rank 51-101
2021-09-08 11:34:09 INFO Collected 50 ID in genre COMEDY, rank 101-151
2021-09-08 11:34:11 INFO Collected 50 ID in genre COMEDY, rank 151-201
2021-09-08 11:34:13 INFO Collected 50 ID in genre COMEDY, rank 201-251
2021-09-08 11:34:15 INFO Collected 50 ID in genre COMEDY, rank 251-301
2021-09-08 11:34:17 INFO Collected 50 ID in genre COMEDY, rank 301-351
